left,right,match,rule
p61___n52___gqx05_yf5___ybj0__,f45___n52___n1____p61___gqx05_,True,3
gqx05_ze83__p61___f37___xrd55_,p61___rr02__gqx05_nx2___vj22__,True,3
ao1___gqx05_rr02__f45___p61___,p61___tvr11_gqx05_xrd55_i28___,True,3
gqx05_p61___ao1___zzy1__md40__,p61___zal81_h23___i7____gqx05_,True,3
p61___gqx05_e17___qto54_u85___,v72___gqx05_h3____ab50__p61___,True,3
gl5___gqx05_hl3___p61___j33___,gqx05_p61___jy9___pcc35_za85__,True,3
gqx05_rr02__yf5___p61___tn6___,p61___xto84_vj22__ux87__gqx05_,True,3
hn0___p61___gqx05_g57___olh3__,w2____gqx05_dri57_p61___fm2___,True,3
f37___gqx05_p61___w46___xrd55_,f2____a53___p61___gqx05_hl3___,True,3
s9____p61___gqx05_p61___p61___,z37___zzy1__gqx05_p61___cdo9__,True,3
h1____jsm0__gqx05_ao1___p61___,mx08__lj75__gqx05_p61___gqx05_,True,3
ab50__p61___sef9__yf5___gqx05_,h99___p61___yas1__n52___gqx05_,True,3
p61___ux87__bzv3__gqx05_ox74__,ov58__p61___ybj0__mg0___gqx05_,True,3
p61___v72___gqx05_xto84_ab50__,n52___w46___p61___jy9___gqx05_,True,3
g57___gqx05_p61___cdo9__ab50__,p1____gqx05_esl6__p61___olh3__,True,3
gqx05_ab50__p61___sz2___i28___,p61___bx29__gqx05_ixk4__ov58__,True,3
gqx05_ux87__f37___p61___e95___,fm2___p61___ox74__g57___gqx05_,True,3
p61___gqx05_lfc12_mg0___sz2___,yas1__gqx05_zzy1__sz2___p61___,True,3
gqx05_p61___f37___yj04__rut52_,o4____p61___gqx05_hl3___md40__,True,3
gqx05_gx81__ds90__tvr11_p61___,jsm0__jx84__gqx05_f37___p61___,True,3
sef9__gqx05_zzy1__p61___f2____,p61___zr6___gqx05_f37___za85__,True,3
gqx05_p61___zal81_ybj0__z37___,mg0___dri57_p61___gqx05_xto84_,True,3
lj75__xrd55_tz3___p61___gqx05_,gqx05_ab50__p61___ux54__p1____,True,3
lj75__gqx05_p61___ox74__ed7___,h23___p61___sef9__ao1___gqx05_,True,3
d97___z37___tz3___gqx05_p61___,ek6___gqx05_ux54__p61___mg0___,True,3
gqx05_i7____p61___dri57_za85__,gx81__p61___h23___jy9___gqx05_,True,3
gqx05_u85___fm2___p61___g57___,ux87__gqx05_p61___ds90__ao1___,True,3
p61___nx2___za85__gqx05_u85___,k2____p61___h3____u85___gqx05_,True,3
p61___zr6___gqx05_a53___ox74__,h3____p61___gqx05_h1____tz3___,True,3
p61___sef9__gqx05_a89___po16__,h1____d97___o87___gqx05_p61___,True,3
p61___u85___gqx05_gx81__l07___,qo7___p61___gqx05_z37___rr02__,True,3
p61___gqx05_lfc12_ov58__fs8___,tyq0__tz3___p61___lp3___gqx05_,True,3
gqx05_gl5___p61___ux54__l0____,lj75__gqx05_fm2___p61___j33___,True,3
j33___p61___qo7___g57___gqx05_,p61___zal81_n7____mgb62_gqx05_,True,3
n1____p61___qto54_p61___gqx05_,zal81_s9____gqx05_p61___f37___,True,3
p61___gqx05_w2____lfc12_h1____,p61___esl6__zr6___pcc35_gqx05_,True,3
gqx05_gx81__p61___fm2___z37___,p61___h3____jx84__f45___gqx05_,True,3
p61___v72___j33___e95___gqx05_,n1____p61___i7____y19___gqx05_,True,3
p61___gqx05_gqx05_l07___ux87__,za85__gqx05_bzv3__p61___po16__,True,3
esl6__lj75__p61___rr02__gqx05_,rr02__gqx05_p61___f37___ek6___,True,3
p61___p61___u85___gqx05_lj75__,p61___vj22__gqx05_wad07_yf5___,True,3
lj75__p61___gqx05_gx81__g57___,tn6___p61___gqx05_tvr11_fm2___,True,3
nx2___p61___v72___fm2___gqx05_,tz3___yj04__gqx05_p61___ds90__,True,3
jx84__zzy1__gqx05_p61___ed7___,gqx05_zzy1__h1____a89___p61___,True,3
n7____gqx05_jsm0__nx2___p61___,bzv3__rut52_p61___za85__gqx05_,True,3
gqx05_yas1__p61___tn6___byb9__,i7____zzy1__u85___p61___gqx05_,True,3
p61___ybj0__n1____gqx05_a89___,fm2___d45___a89___gqx05_p61___,True,3
tvr11_p61___ux54__tz3___gqx05_,e95___gqx05_u4____p61___tn6___,True,3
p61___w46___gqx05_olh3__o87___,qo7___gqx05_gqx05_p61___xto84_,True,3
dri57_h99___mgb62_gqx05_p61___,p61___gqx05_xrd55_ze83__fm2___,True,3
hu68__n7____p61___mx08__gqx05_,n1____gqx05_s9____i7____p61___,True,3
v72___gqx05_xa55__tn6___p61___,p61___gqx05_h1____ox74__yf5___,True,3
gqx05_h99___zal81_pcc35_p61___,p61___gqx05_w2____n1____h3____,True,3
jsm0__p61___a53___gqx05_dri57_,p61___gqx05_bx29__sef9__olh3__,True,3
p61___ohi59_gqx05_xa55__hl3___,k2____pcc35_gqx05_ux54__p61___,True,3
h3____gqx05_e95___p61___ds90__,p61___mg0___mgb62_gqx05_ux54__,True,3
u85___gqx05_yf5___m59___p61___,p61___o4____xa55__gqx05_w2____,True,3
e95___n7____ux87__p61___gqx05_,gqx05_p61___ux54__u4____ds90__,True,3
nx2___u85___gqx05_p61___mgb62_,p61___gqx05_tn6___hu68__yas1__,True,3
p61___tyq0__p61___ybj0__gqx05_,mgb62_zr6___p61___rut52_gqx05_,True,3
y19___gqx05_qo7___bru98_p61___,p61___xrd55_u85___ab50__gqx05_,True,3
md40__v72___gqx05_rr02__p61___,l07___a89___p61___jy9___gqx05_,True,3
sef9__gqx05_p61___ze83__e17___,u4____p61___tn6___gqx05_fs8___,True,3
lj75__gqx05_n7____a53___p61___,jsm0__bx29__gqx05_d45___p61___,True,3
qo7___ux54__gqx05_yas1__p61___,cdo9__p61___p1____olh3__gqx05_,True,3
gqx05_d45___ed7___p61___n7____,gqx05_hu68__p61___xa55__j33___,True,3
ox74__p61___ds90__k2____gqx05_,p61___g57___gqx05_u85___o4____,True,3
gqx05_p1____md40__fm2___p61___,vj22__ux87__hn0___p61___gqx05_,True,3
v72___p61___o87___jsm0__gqx05_,p61___ybj0__f37___gqx05_qo7___,True,3
gqx05_bx29__lj75__p61___z37___,p61___n7____gqx05_qo7___ybj0__,True,3
bru98_gqx05_n1____p61___wad07_,gqx05_p61___ze83__ed7___nx2___,True,3
za85__gqx05_a53___p61___gl5___,gqx05_o4____ds90__p61___xto84_,True,3
gqx05_u85___qto54_g57___p61___,p61___gqx05_ao1___mgb62_gx81__,True,3
p61___ds90__gqx05_tvr11_a53___,fm2___mx08__y19___p61___gqx05_,True,3
xto84_gqx05_p61___ao1___e17___,gqx05_mg0___tyq0__p61___bzv3__,True,3
esl6__jf4___l0____gqx05_p61___,l07___gqx05_j33___xrd55_p61___,True,3
sz2___p61___wad07_gqx05_h1____,gx81__f2____mg0___gqx05_p61___,True,3
tyq0__gqx05_bx29__p61___l0____,jsm0__gqx05_p61___ybj0__u85___,True,3
u85___gqx05_gqx05_p61___sz2___,p61___tz3___gqx05_ov58__bzv3__,True,3
lfc12_tvr11_gqx05_p61___gl5___,h99___rr02__e17___p61___gqx05_,True,3
f37___za85__p61___gqx05_j33___,p61___o87___gqx05_sz2___ybj0__,True,3
tvr11_gqx05_dri57_p61___p61___,yas1__ze83__n52___p61___gqx05_,True,3
ds90__z37___xto84_p61___gqx05_,p61___d97___md40__ze83__gqx05_,True,3
xrd55_gqx05_e95___jy9___p61___,p61___ux54__bx29__gqx05_w2____,True,3
gqx05_gl5___p61___wad07_h99___,fm2___gqx05_p61___j33___qto54_,True,3
yj04__gqx05_p61___sz2___yj04__,xto84_p61___k2____gqx05_tz3___,True,3
p61___h99___n7____gqx05_fm2___,fs8___gqx05_bx29__za85__p61___,True,3
byb9__p61___u85___n7____gqx05_,gqx05_d97___p61___qo7___e95___,True,3
cdo9__gqx05_gx81__z37___p61___,jf4___ux87__tz3___gqx05_p61___,True,3
po16__p61___gqx05_d97___ov58__,gqx05_pcc35_jy9___p61___o4____,True,3
p61___ek6___rr02__gqx05_yj04__,a53___yas1__gqx05_p61___ov58__,True,3
p61___ux87__gqx05_rr02__xa55__,gqx05_p61___d97___gqx05_xa55__,True,3
p61___gqx05_zal81_ux87__ek6___,ze83__gqx05_mgb62_p61___ao1___,True,3
cdo9__h23___gqx05_u85___p61___,md40__ed7___xto84_gqx05_p61___,True,3
p61___h1____fm2___gqx05_xto84_,gqx05_olh3__p61___s9____u4____,True,3
h23___e17___p61___xa55__gqx05_,gqx05_h99___ux54__mgb62_p61___,True,3
jsm0__pcc35_i7____p61___gqx05_,n7____p61___k2____gqx05_wad07_,True,3
n52___i7____p61___gqx05_jf4___,bru98_sef9__p61___gqx05_ed7___,True,3
jx84__pcc35_gqx05_p61___j33___,hl3___p61___lfc12_ux54__gqx05_,True,3
d97___p61___a53___gqx05_l07___,p61___f37___gl5___gqx05_n7____,True,3
f2____bru98_bru98_p61___gqx05_,p61___ybj0__qo7___po16__gqx05_,True,3
gqx05_a53___fm2___ybj0__p61___,gqx05_f45___zal81_zzy1__p61___,True,3
p61___s9____ds90__l0____gqx05_,gqx05_p61___ek6___i28___j33___,True,3
gqx05_gx81__h1____p61___jf4___,p61___sef9__qto54_jsm0__gqx05_,True,3
h23___a89___gqx05_p61___h23___,xa55__gqx05_h23___ab50__p61___,True,3
p61___o87___ohi59_gqx05_fm2___,ze83__gqx05_tn6___tz3___p61___,True,3
gqx05_y19___u4____w2____p61___,p61___xto84_tn6___gqx05_fs8___,True,3
p61___f45___u85___gqx05_s9____,bx29__h1____p61___gqx05_p1____,True,3
olh3__ixk4__jy9___p61___gqx05_,n7____p61___gqx05_d97___fm2___,True,3
gqx05_z37___p61___ux87__hu68__,esl6__p61___w2____i7____gqx05_,True,3
bru98_gqx05_p61___u4____bzv3__,gqx05_tz3___l07___tn6___p61___,True,3
gqx05_e17___p61___lj75__l07___,zr6___p61___w46___gqx05_tn6___,True,3
jx84__s9____gqx05_xa55__p61___,gqx05_lj75__ek6___p61___mgb62_,True,3
gqx05_p1____v72___f2____p61___,md40__gqx05_bru98_p61___n1____,True,3
p61___n1____yj04__gqx05_u85___,p61___m59___qo7___gqx05_ds90__,True,3
p61___v72___gqx05_xrd55_hn0___,p61___gqx05_ze83__ab50__sz2___,True,3
v72___hl3___gqx05_n7____p61___,p61___za85__jsm0__p1____gqx05_,True,3
p61___o4____o87___j33___gqx05_,p61___mg0___gqx05_d45___lp3___,True,3
p61___qto54_h1____gqx05_d45___,gqx05_gqx05_p61___l07___olh3__,True,3
gqx05_f45___p61___i7____lj75__,gx81__gqx05_lp3___p61___a89___,True,3
f37___e17___wad07_p61___gqx05_,mx08__p61___l07___jsm0__gqx05_,True,3
h3____gqx05_zr6___p61___ux54__,p61___gqx05_gl5___ao1___jx84__,True,3
jy9___gqx05_zal81_ybj0__p61___,za85__p61___yf5___gqx05_ixk4__,True,3
md40__p61___ed7___yf5___gqx05_,o87___p61___xrd55_gqx05_ux87__,True,3
rut52_gqx05_p61___qo7___n7____,p1____fm2___p61___gx81__gqx05_,True,3
gqx05_h23___o4____p61___yj04__,p61___ox74__gqx05_gqx05_o4____,True,3
xa55__jx84__fs8___gqx05_p61___,n52___gqx05_u4____p61___mx08__,True,3
gqx05_sz2___ds90__p61___g57___,gqx05_l0____p61___h23___p1____,True,3
p61___gqx05_ux87__u4____ox74__,esl6__l07___gqx05_p61___gqx05_,True,3
p61___a53___gqx05_md40__u4____,ox74__p61___ybj0__gqx05_dri57_,True,3
k2____tyq0__s9____p61___gqx05_,dri57_w46___j33___gqx05_p61___,True,3
p61___d45___sef9__gqx05_tz3___,p1____qto54_gqx05_p61___gl5___,True,3
jx84__h99___y19___gqx05_p61___,tn6___p61___fs8___mgb62_gqx05_,True,3
gqx05_esl6__yj04__qto54_p61___,a89___vj22__gqx05_fs8___p61___,True,3
hu68__p1____gl5___p61___gqx05_,pcc35_p61___p61___gqx05_ox74__,True,3
gqx05_p61___ixk4__ds90__ze83__,p61___xrd55_bzv3__d97___gqx05_,True,3
ybj0__p61___jx84__gqx05_yf5___,i28___gqx05_cdo9__o4____p61___,True,3
jy9___gqx05_p61___gl5___p1____,gqx05_xa55__ux87__y19___p61___,True,3
f45___w2____gqx05_o87___p61___,e95___yf5___p61___gqx05_dri57_,True,3
p1____lfc12_gqx05_p61___d97___,gqx05_gl5___p61___dri57_a53___,True,3
ab50__n1____qto54_p61___gqx05_,gqx05_hn0___nx2___p61___ao1___,True,3
jf4___gqx05_ed7___md40__p61___,p61___v72___gqx05_gqx05_ov58__,True,3
u85___l07___gqx05_a89___p61___,xrd55_p61___tyq0__p1____gqx05_,True,3
ze83__p61___fs8___gqx05_p61___,lfc12_gqx05_ixk4__dri57_p61___,True,3
gqx05_d97___z37___p61___i7____,vj22__p61___gqx05_p61___gx81__,True,3
esl6__p61___ds90__gqx05_hl3___,gqx05_p61___qto54_p61___sef9__,True,3
p61___mx08__f2____rr02__gqx05_,gqx05_mgb62_za85__p61___jx84__,True,3
p61___gqx05_hl3___mgb62_qo7___,gqx05_p61___p1____o4____a89___,True,3
p61___yas1__gqx05_w46___rut52_,za85__p61___gqx05_jsm0__n7____,True,3
ux87__gqx05_p61___u85___ov58__,po16__p61___gqx05_ox74__f2____,True,3
mg0___p61___jx84__gqx05_jf4___,gqx05_jx84__p61___i7____olh3__,True,3
tz3___mg0___m59___p61___gqx05_,p61___gqx05_ao1___n1____ux54__,True,3
md40__p61___zzy1__gqx05_zr6___,gqx05_ed7___p61___p61___wad07_,True,3
i28___p61___gqx05_byb9__gx81__,p61___sef9__w2____gqx05_f2____,True,3
jf4___gqx05_p61___mgb62_zr6___,p61___gqx05_zzy1__p61___bx29__,True,3
mg0___ao1___gqx05_h1____p61___,gqx05_nx2___p61___gx81__ixk4__,True,3
fs8___hu68__pcc35_gqx05_p61___,gqx05_ohi59_fm2___p61___zal81_,True,3
xa55__d97___jsm0__p61___gqx05_,gqx05_fs8___p61___gqx05_ek6___,True,3
p61___gqx05_f45___v72___jf4___,p61___gqx05_o87___esl6__fs8___,True,3
yj04__p61___gqx05_tz3___rut52_,md40__jf4___cdo9__gqx05_p61___,True,3
gqx05_ohi59_zr6___p61___j33___,p61___gqx05_sz2___mx08__gx81__,True,3
gqx05_p61___p61___p61___tz3___,ixk4__rr02__fm2___p61___gqx05_,True,3
e17___gqx05_nx2___olh3__p61___,hl3___gqx05_lfc12_p61___olh3__,True,3
byb9__jf4___gqx05_po16__p61___,f37___a89___p61___ux54__gqx05_,True,3
tz3___yj04__gqx05_p61___po16__,p61___hl3___hu68__n7____gqx05_,True,3
gqx05_qo7___yf5___p61___ox74__,gqx05_a89___ox74__p61___h3____,True,3
a53___e95___po16__gqx05_p61___,qo7___xto84_p61___ze83__gqx05_,True,3
ov58__ov58__p61___bx29__gqx05_,hl3___gqx05_e17___ds90__p61___,True,3
p61___lfc12_gqx05_g57___mx08__,gqx05_u85___p61___hl3___d45___,True,3
p61___bx29__ybj0__jy9___gqx05_,i7____gqx05_gqx05_p61___wad07_,True,3
p61___gqx05_i28___l07___ab50__,p61___d45___gqx05_gl5___j33___,True,3
ds90__gqx05_p61___ds90__mgb62_,p61___f45___bru98_gqx05_n1____,True,3
olh3__gqx05_p61___po16__ux54__,tvr11_p61___gqx05_ed7___gqx05_,True,3
yj04__gqx05_p61___gqx05_z37___,tz3___p61___zr6___fm2___gqx05_,True,3
gqx05_fm2___p61___zal81_jsm0__,hu68__gqx05_p61___ox74__mx08__,True,3
gqx05_xa55__p61___lfc12_tz3___,gqx05_a53___p61___e17___h23___,True,3
gqx05_p61___ohi59_bru98_e17___,d97___w2____p61___gqx05_z37___,True,3
j33___gqx05_l0____gqx05_p61___,rut52_p61___ux54__gqx05_tvr11_,True,3
p61___a89___gqx05_f37___f45___,lfc12_p61___sef9__gqx05_sz2___,True,3
s9____bzv3__p61___l07___gqx05_,e17___hn0___gqx05_p1____p61___,True,3
a89___ab50__p61___md40__gqx05_,p61___zzy1__gqx05_o87___xa55__,True,3
v72___lfc12_esl6__gqx05_p61___,gqx05_gl5___sz2___zal81_p61___,True,3
p61___l07___gqx05_a89___f37___,za85__esl6__gqx05_p61___tz3___,True,3
y19___u85___gqx05_p61___ohi59_,p61___md40__gqx05_zal81_rr02__,True,3
tyq0__p61___j33___h1____gqx05_,qto54_za85__p61___gqx05_pcc35_,True,3
esl6__p61___qto54_gqx05_hn0___,gqx05_p61___o4____mg0___ov58__,True,3
mgb62_f37___n7____gqx05_p61___,s9____gqx05_p61___dri57_pcc35_,True,3
gqx05_qo7___p61___g57___fm2___,p61___zal81_w2____j33___gqx05_,True,3
gqx05_ze83__z37___p61___p61___,qto54_gqx05_k2____e17___p61___,True,3
y19___mg0___gqx05_i7____p61___,p61___mg0___s9____tyq0__gqx05_,True,3
ybj0__gqx05_p61___xa55__lfc12_,p61___zzy1__fm2___gqx05_md40__,True,3
ybj0__gqx05_p61___o4____ux54__,gqx05_e17___h99___p61___ds90__,True,3
gqx05_p61___pcc35_s9____mgb62_,gqx05_f37___mg0___p61___n7____,True,3
lfc12_gqx05_p61___za85__k2____,p61___olh3__lfc12_i28___gqx05_,True,3
gqx05_w2____tz3___n52___p61___,h99___k2____d45___p61___gqx05_,True,3
gqx05_p61___gqx05_bru98_bru98_,f45___cdo9__p61___gqx05_h1____,True,3
yj04__ov58__gqx05_nx2___p61___,jx84__p61___yas1__gqx05_lfc12_,True,3
byb9__p61___p1____gqx05_ybj0__,p61___gqx05_tvr11_jx84__p61___,True,3
hl3___xto84_f2____gqx05_p61___,o4____p61___esl6__yj04__gqx05_,True,3
i28___h3____p61___cdo9__gqx05_,xto84_p61___i28___gqx05_g57___,True,3
gqx05_fs8___mgb62_o87___p61___,ov58__p61___ek6___gqx05_a53___,True,3
e95___ux87__p61___rr02__gqx05_,mx08__gqx05_w2____byb9__p61___,True,3
gqx05_p61___s9____j33___bzv3__,rut52_lp3___qto54_gqx05_p61___,True,3
o4____gqx05_ux87__za85__p61___,ov58__w2____p61___gqx05_f2____,True,3
ixk4__v72___gqx05_hl3___p61___,p61___n7____gqx05_z37___p61___,True,3
p61___lfc12_y19___gqx05_ds90__,gqx05_p61___h23___esl6__gx81__,True,3
h99___o87___p61___olh3__gqx05_,zzy1__p61___e95___gx81__gqx05_,True,3
p61___f45___k2____za85__gqx05_,s9____gqx05_ox74__qto54_p61___,True,3
xrd55_gqx05_mg0___p61___h99___,i28___gqx05_po16__p61___zr6___,True,3
tn6___p61___f37___xrd55_gqx05_,gqx05_sz2___i7____rr02__p61___,True,3
gqx05_gl5___bru98_p61___zzy1__,ox74__p61___gqx05_s9____tn6___,True,3
gqx05_cdo9__e17___p61___byb9__,gqx05_jy9___p61___dri57_k2____,True,3
m59___p61___o87___h1____gqx05_,h99___f45___p61___gqx05_lfc12_,True,3
p61___l0____rut52_d45___gqx05_,gqx05_p61___o87___gqx05_y19___,True,3
z37___i28___p61___gqx05_lfc12_,p61___jf4___mg0___gqx05_w2____,True,3
p61___sef9__m59___gqx05_f2____,rr02__jf4___gqx05_xa55__p61___,True,3
gqx05_za85__ux54__p61___rr02__,p61___fm2___gqx05_byb9__ov58__,True,3
lfc12_gqx05_cdo9__p61___lj75__,vj22__ybj0__gqx05_mx08__p61___,True,3
hl3___u4____p61___lfc12_gqx05_,ybj0__d97___p61___gqx05_f2____,True,3
bzv3__i28___gqx05_p61___p61___,ixk4__gqx05_p61___e17___rut52_,True,3
gqx05_tyq0__p61___u85___xa55__,d45___p61___gqx05_i28___lfc12_,True,3
gqx05_i7____l07___p61___yas1__,ao1___a89___gqx05_p61___wad07_,True,3
ybj0__gqx05_nx2___ox74__p61___,zr6___ixk4__gqx05_lj75__p61___,True,3
fm2___gqx05_o4____zal81_p61___,lp3___a89___mg0___gqx05_p61___,True,3
gqx05_nx2___p61___tyq0__o87___,m59___gqx05_olh3__p61___wad07_,True,3
p61___ds90__wad07_gqx05_f37___,gqx05_fm2___o87___ds90__p61___,True,3
p61___gqx05_yf5___ixk4__ds90__,zzy1__gqx05_p61___zr6___jy9___,True,3
gqx05_gqx05_byb9__p61___xrd55_,d45___gqx05_z37___sef9__p61___,True,3
gqx05_ao1___wad07_p61___v72___,w46___gqx05_olh3__p61___ux87__,True,3
h3____mgb62_p61___a53___gqx05_,sef9__p61___gqx05_po16__h3____,True,3
byb9__i7____gqx05_p61___s9____,gqx05_p61___hu68__ov58__a53___,True,3
bzv3__zzy1__p61___gqx05_n52___,p61___ybj0__gqx05_h3____f37___,True,3
gqx05_yf5___p61___e95___ao1___,ixk4__sz2___w46___p61___gqx05_,True,3
hl3___md40__p61___gqx05_f2____,p61___mg0___h3____za85__gqx05_,True,3
za85__gqx05_p61___lp3___ixk4__,xrd55_ox74__gqx05_xrd55_p61___,True,3
gqx05_tn6___gqx05_p61___m59___,mx08__p61___ao1___gqx05_n1____,True,3
i7____gqx05_n1____p61___rr02__,gqx05_f37___bx29__vj22__p61___,True,3
p61___jsm0__h99___i7____gqx05_,ux87__l07___gqx05_e17___p61___,True,3
rr02__jy9___gqx05_cdo9__p61___,olh3__yj04__p61___bru98_gqx05_,True,3
p61___gqx05_p1____fm2___rut52_,bru98_gqx05_p61___bx29__bx29__,True,3
gqx05_esl6__byb9__p61___e95___,h1____gqx05_tyq0__p61___vj22__,True,3
xto84_p61___gqx05_h23___ze83__,p61___m59___gqx05_sef9__d45___,True,3
bx29__v72___jy9___gqx05_p61___,p61___mx08__zr6___gqx05_yf5___,True,3
p61___j33___gqx05_i7____esl6__,mx08__gqx05_p61___wad07_o4____,True,3
vj22__gqx05_bx29__p61___fs8___,mx08__gqx05_yj04__p61___lp3___,True,3
gqx05_p61___md40__i7____hu68__,p61___i28___p61___gqx05_n7____,True,3
cdo9__gx81__gqx05_p61___jsm0__,p61___gqx05_k2____n7____y19___,True,3
gqx05_bzv3__a89___p61___qto54_,lfc12_bzv3__h3____p61___gqx05_,True,3
n52___gqx05_m59___p61___byb9__,v72___g57___e17___p61___gqx05_,True,3
mg0___rr02__gqx05_ox74__p61___,p61___z37___xrd55_hn0___gqx05_,True,3
p61___gqx05_esl6__p61___n7____,p61___ov58__gqx05_jx84__p61___,True,3
i7____u4____p61___e17___gqx05_,f2____p61___wad07_o4____gqx05_,True,3
gqx05_u85___p61___p1____za85__,gqx05_yj04__gqx05_yf5___p61___,True,3
y19___gqx05_ds90__zzy1__p61___,fs8___gl5___l07___p61___gqx05_,True,3
a89___gqx05_p61___e95___ux54__,a53___gqx05_p61___hl3___gqx05_,True,3
h23___o4____p61___za85__gqx05_,esl6__jx84__p61___zzy1__gqx05_,True,3
jy9___p61___gqx05_y19___vj22__,vj22__gqx05_h1____zr6___p61___,True,3
gqx05_bzv3__j33___p61___h3____,jsm0__a53___gqx05_i28___p61___,True,3
p61___gqx05_mx08__bzv3__n7____,h99___gqx05_p61___sz2___zal81_,True,3
lp3___w2____p61___xrd55_gqx05_,w46___gqx05_pcc35_mgb62_p61___,True,3
k2____m59___ybj0__p61___gqx05_,l0____o4____n1____p61___gqx05_,True,3
u4____gqx05_jsm0__p61___ux54__,bru98_o4____gqx05_p61___bzv3__,True,3
p1____p61___e17___gqx05_p61___,h99___gqx05_z37___k2____p61___,True,3
n7____gqx05_po16__gqx05_p61___,p61___e95___rut52_ux54__gqx05_,True,3
p61___bx29__bru98_gqx05_ek6___,xrd55_p61___gqx05_s9____ek6___,True,3
a53___gqx05_p61___e95___ze83__,f37___gl5___rut52_gqx05_p61___,True,3
w2____p61___f37___f2____gqx05_,gqx05_l0____p61___xto84_jx84__,True,3
jf4___xrd55_gqx05_sef9__p61___,fm2___hl3___mx08__p61___gqx05_,True,3
n52___p61___vj22__gqx05_m59___,ds90__p61___hl3___d45___gqx05_,True,3
p61___gqx05_md40__a89___gx81__,e95___p61___yj04__ed7___gqx05_,True,3
gqx05_v72___mx08__p61___l07___,gqx05_o87___h23___fs8___p61___,True,3
sz2___ov58__gqx05_rut52_p61___,f37___gqx05_xrd55_p61___ze83__,True,3
tz3___gqx05_gqx05_i28___p61___,f2____e17___p61___fs8___gqx05_,True,3
p61___tn6___gqx05_o4____u85___,p61___mgb62_fm2___w2____gqx05_,True,3
gqx05_p61___ds90__sz2___s9____,jx84__lp3___byb9__gqx05_p61___,True,3
fs8___sz2___p61___jy9___gqx05_,gqx05_p61___esl6__cdo9__qto54_,True,3
ze83__p61___i7____gqx05_lj75__,gqx05_mg0___gx81__qo7___p61___,True,3
k2____w46___h3____p61___gqx05_,g57___hn0___p61___h23___gqx05_,True,3
tvr11_gqx05_p61___jy9___lfc12_,p1____p61___bzv3__gqx05_olh3__,True,3
rut52_p61___gqx05_gx81__ds90__,jsm0__l0____gqx05_p61___hn0___,True,3
e17___gqx05_w2____y19___p61___,i7____p61___lj75__e17___gqx05_,True,3
sef9__hl3___rut52_gqx05_p61___,p61___bru98_gqx05_zal81_hn0___,True,3
p61___l07___lj75__gqx05_o87___,ov58__p61___tz3___gqx05_k2____,True,3
tn6___gqx05_p61___esl6__u4____,gqx05_rut52_p61___dri57_f2____,True,3
p61___l07___jf4___mg0___gqx05_,ds90__p61___yj04__e17___gqx05_,True,3
p61___ed7___md40__gqx05_w46___,p61___gqx05_tz3___j33___i28___,True,3
gqx05_p61___hl3___g57___yj04__,ohi59_gqx05_i28___p61___w46___,True,3
lj75__s9____gqx05_p61___ds90__,o4____p61___zzy1__gqx05_md40__,True,3
p61___gqx05_l07___gx81__w46___,ze83__o4____ybj0__p61___gqx05_,True,3
p61___qo7___cdo9__gqx05_j33___,gqx05_ov58__p61___fs8___mg0___,True,3
mgb62_ixk4__dri57_p61___gqx05_,p61___i7____ze83__gqx05_gqx05_,True,3
gl5___p61___i7____gqx05_gx81__,bru98_gqx05_l0____p61___u4____,True,3
l07___bx29__p61___gqx05_fs8___,yj04__gqx05_gx81__lfc12_p61___,True,3
e17___jy9___w2____gqx05_p61___,p61___ixk4__gqx05_hn0___a89___,True,3
p61___bru98_gqx05_gl5___d97___,p61___a89___gqx05_mgb62_zal81_,True,3
p61___byb9__tn6___gqx05_e17___,bru98_gqx05_qto54_p61___mg0___,True,3
gqx05_ybj0__h1____mg0___p61___,gqx05_zzy1__hl3___p61___qo7___,True,3
mgb62_pcc35_gqx05_p61___tvr11_,ov58__md40__tz3___p61___gqx05_,True,3
p61___gqx05_ohi59_xrd55_l0____,hl3___jx84__h1____p61___gqx05_,True,3
gqx05_f37___nx2___p61___bx29__,gqx05_hl3___h1____bru98_p61___,True,3
yf5___ao1___p61___gqx05_n7____,y19___ohi59_p61___gqx05_yj04__,True,3
gqx05_bx29__gx81__n1____p61___,f2____fs8___h1____gqx05_p61___,True,3
u4____hu68__sz2___gqx05_p61___,h3____gqx05_p61___gqx05_p1____,True,3
cdo9__gqx05_jsm0__p61___m59___,f2____i7____p61___gqx05_tz3___,True,3
n52___z37___gqx05_p61___w46___,p61___vj22__esl6__gqx05_n52___,True,3
jf4___byb9__tz3___p61___gqx05_,p61___gqx05_sef9__ybj0__o4____,True,3
gqx05_p61___qo7___h1____p61___,qo7___rr02__p61___f2____gqx05_,True,3
d97___ox74__po16__p61___gqx05_,p1____lj75__gqx05_ybj0__p61___,True,3
wad07_gqx05_p61___p61___l0____,ixk4__u4____gqx05_gqx05_p61___,True,3
zal81_p61___gqx05_ze83__p61___,zr6___jy9___p61___i28___gqx05_,True,3
p61___bx29__gqx05_ux87__w46___,gqx05_mgb62_mgb62_p61___a53___,True,3
wad07_p61___gqx05_qto54_bzv3__,gqx05_d45___p61___p61___gqx05_,True,3
p61___rut52_jsm0__lj75__gqx05_,m59___gqx05_ybj0__p61___gqx05_,True,3
gqx05_ao1___a89___p61___xa55__,p61___dri57_gqx05_qo7___olh3__,True,3
